namespace,term_local_name,label,definition,usage,notes,examples,rdf_type,class_name,is_required,is_repeatable,compound_name,namespace_iri,term_iri,term_ns_name,datatype,enum
ods:,Annotation,Annotation,A new or additional piece of information about a Digital Object. The Annotation model is based on the W3C Web Annotation Data Model (https://www.w3.org/TR/annotation-model/),,,,http://www.w3.org/2000/01/rdf-schema#Class,ods:Annotation,True,True,Annotation,http://rs.dissco.eu/opends/terms/,http://rs.dissco.eu/opends/terms/Annotation,ods:Annotation,,
dcterms:,dcterms:identifier,Identifier,The handle of the annotation. It is a unique identifier for the annotation. It is composed of the handle of the document followed by a slash and a unique identifier for the annotation.,,,https://hdl.handle.net/20.5000.1025/XXX-XXX-XXX,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,ods:Annotation,True,False,Annotation.identifier,http://purl.org/dc/terms/,http://purl.org/dc/terms/identifier,dcterms:identifier,string,
ods:,ods:fdoType,Fdo Type,The DOI to the FDO type of the object,,,https://doi.org/21.T11148/bbad8c4e101e8af01115| https://doi.org/21.T11148/894b1e6cad57e921764e,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,ods:Annotation,True,False,Annotation.fdoType,http://rs.dissco.eu/opends/terms/,http://rs.dissco.eu/opends/terms/fdoType,ods:fdoType,string,
ods:,ods:status,Status,"The status of the Digital Object. A digital object can be in Draft, when it is not published yet. Active when it is published and the object is active and Tombstone which means the object has been archived.",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,ods:Annotation,False,False,Annotation.status,http://rs.dissco.eu/opends/terms/,http://rs.dissco.eu/opends/terms/status,ods:status,,Draft| Active| Tombstone
ods:,ods:jobID,Job ID,"Handle of the job record, if the annotation was produced by a Machine Annotation Service, only filled when annotation was created by a MAS",,,https://hdl.handle.net/20.5000.1025/XXX-XXX-XXX,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,ods:Annotation,False,False,Annotation.jobID,http://rs.dissco.eu/opends/terms/,http://rs.dissco.eu/opends/terms/jobID,ods:jobID,string,
ods:,ods:version,Version,"The version of the object, each change generates a new version. The version starts at 1 and each change will increment the version number with 1",,,1| 3| 5,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,ods:Annotation,True,False,Annotation.version,http://rs.dissco.eu/opends/terms/,http://rs.dissco.eu/opends/terms/version,ods:version,integer,
oa:,oa:motivation,Motivation,The motivation for why an annotation was proposed. Based on a selection of https://www.w3.org/TR/annotation-model/#motivation-and-purpose. The motivation ods:adding and ods:deleting are added for DiSSCo's purposes.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,ods:Annotation,True,False,Annotation.motivation,http://www.w3.org/ns/oa#,http://www.w3.org/ns/oa#motivation,oa:motivation,,ods:adding| ods:deleting| oa:assessing| oa:editing| oa:commenting
oa:,oa:motivatedBy,Motivated By,Describes the reason for the annotation,,,The country is incorrect| Identified a new link to a record in ENA,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,ods:Annotation,False,False,Annotation.motivatedBy,http://www.w3.org/ns/oa#,http://www.w3.org/ns/oa#motivatedBy,oa:motivatedBy,string,
oa:,oa:hasTarget,Has Target,Indicates the particular object and part of the object on which the annotation has been made,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,ods:Annotation,True,False,Annotation.hasTarget,http://www.w3.org/ns/oa#,http://www.w3.org/ns/oa#hasTarget,oa:hasTarget,object,
oa:,oa:hasBody,Has Body,The body of the annotation contains the specific value of the annotation,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,ods:Annotation,True,False,Annotation.hasBody,http://www.w3.org/ns/oa#,http://www.w3.org/ns/oa#hasBody,oa:hasBody,object,
dcterms:,dcterms:creator,Creator,Contains information about the creator of the annotation,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,ods:Annotation,True,False,Annotation.creator,http://purl.org/dc/terms/,http://purl.org/dc/terms/creator,dcterms:creator,object,
