namespace,term_local_name,label,definition,usage,notes,examples,rdf_type,class_name,is_required,is_repeatable,compound_name,namespace_iri,term_iri,term_ns_name,datatype,enum
ods:,CreateUpdateTombstoneEvent,Create Update Tombstone Event,"An provenance event describing any change that has been made to a Digital Object, this could be the creation, modification or tombstoning of an object. Model is based on the W3C PROV Data Model (https://www.w3.org/TR/prov-o/)",,,,http://www.w3.org/2000/01/rdf-schema#Class,ods:CreateUpdateTombstoneEvent,True,True,CreateUpdateTombstoneEvent,http://rs.dissco.eu/opends/terms/,http://rs.dissco.eu/opends/terms/CreateUpdateTombstoneEvent,ods:CreateUpdateTombstoneEvent,,
dcterms:,dcterms:identifier,Identifier,"The unique identifier of the Create Update Tombstone Event, this includes the version of the object",,,https://hdl.handle.net/20.5000.1025/XXX-XXX-XXX/3| https://doi.org/TEST/PGD-QGK-S0R/1,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,ods:CreateUpdateTombstoneEvent,True,False,CreateUpdateTombstoneEvent.identifier,http://purl.org/dc/terms/,http://purl.org/dc/terms/identifier,dcterms:identifier,string,
prov:,prov:Activity,Activity,"This class described the activity that was performed on the Digital Object, Based on the prov-ontology Activity Class",,,,http://www.w3.org/2000/01/rdf-schema#Class,ods:CreateUpdateTombstoneEvent,False,False,CreateUpdateTombstoneEvent.Activity,http://www.w3.org/ns/prov#,http://www.w3.org/ns/prov#Activity,prov:Activity,object,
prov:,prov:wasAssociatedWith,Was Associated With,Contains a reference to zero or more prov:Agent objects that were associated with the Activity,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,ods:prov:Activity,True,False,prov:Activity.wasAssociatedWith,http://www.w3.org/ns/prov#,http://www.w3.org/ns/prov#wasAssociatedWith,prov:wasAssociatedWith,array<ods:Agent>,
prov:,prov:endedAtTime,Ended At Time,"The date and time when the activity ended. This is also the moment the CreateUpdateTombstone Event is created, following the ISO Date Time Format yyyy-MM-dd'T'HH:mm:ss.SSSXXX",,,2024-06-11T09:14:00.233Z| 2022-04-23T12:13:00.789Z,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,ods:prov:Activity,True,False,prov:Activity.endedAtTime,http://www.w3.org/ns/prov#,http://www.w3.org/ns/prov#endedAtTime,prov:endedAtTime,string,
prov:,prov:used,Used,The unique identifier of the Digital Object that was the object of the Activity (as indicated at @id in the Activity Class),,,https://hdl.handle.net/20.5000.1025/XXX-XXX-XXX/1| https://doi.org/10.15468/1a2b3c/3,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,ods:prov:Activity,True,False,prov:Activity.used,http://www.w3.org/ns/prov#,http://www.w3.org/ns/prov#used,prov:used,string,
rdfs:,rdfs:comment,Comment,A comment about the activity,,,Digital Specimen was updated by user XXX at 2024-02-23T15:12:00.131Z| Annotation was created by user YYY at 2021-06-01T12:00:00.111Z,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,ods:prov:Activity,False,False,prov:Activity.comment,http://www.w3.org/2000/01/rdf-schema#,http://www.w3.org/2000/01/rdf-schema#comment,rdfs:comment,string,
ods:,ods:changeValue,Change Value,"The json patch object that describes the changes made to the object as opposed to the previous version, empty if this is a ods:Create",,,"[{'op': 'add', 'path': '/ods:attributes/dwc:collectionId', 'value': 'Herbarium Berolinense'}, {'op': 'copy', 'path': '/ods:attributes/dwc:identification/0/taxonIdentifications/0/dwc:infragenericEpithet', 'from': '/ods:attributes/dwc:identification/0/taxonIdentifications/0/dwc:specificEpithet'}]",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,ods:prov:Activity,False,False,prov:Activity.changeValue,http://rs.dissco.eu/opends/terms/,http://rs.dissco.eu/opends/terms/changeValue,ods:changeValue,array<object>,
prov:,prov:Entity,Entity,"The Digital Object on which the Activity took place, the resulting Digital Object is stored as the `prov:value`",,,,http://www.w3.org/2000/01/rdf-schema#Class,ods:CreateUpdateTombstoneEvent,False,False,CreateUpdateTombstoneEvent.Entity,http://www.w3.org/ns/prov#,http://www.w3.org/ns/prov#Entity,prov:Entity,object,
prov:,prov:value,Value,"The full object that is the result of the prov:Activity, the structure of this object is defined by the `@type` field.",,,"{'@id': 'https://hdl.handle.net/20.5000.1025/ABC-DEF-GHI', '@type': 'ods:Mapping', 'schema:identifier': 'https://hdl.handle.net/20.5000.1025/ABC-DEF-GHI', 'ods:fdoType': 'https://doi.org/10.15468/1a2b3c', 'schema:version': 1, 'schema:name': 'Default Mapping for Herbarium of University of Coimbra (COI)', 'schema:description': 'The default mapping for the Herbarium of the University of Coimbra (COI) to the Darwin Core standard.', 'schema:dateCreated': '2021-06-01T12:00:00.111Z', 'schema:creator': {'@id': 'https://orcid.org/0000-0002-5669-2769', '@type': 'schema:Person', 'schema:name': 'John Doe'}, 'ods:Mapping': {'ods:DefaultMapping': [{'ods:physicalSpecimenIDType': 'Global'}, {'ods:fdoType': 'ZoologyVertebrateSpecimen'}, {'ods:organisationId': 'https://ror.org/05xg72x27'}], 'ods:FieldMapping': [{'ods:physicalSpecimenId': 'dwc:catalogNumber'}]}, 'ods:mappingDataStandard': 'dwc'}",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,ods:prov:Entity,False,False,prov:Entity.value,http://www.w3.org/ns/prov#,http://www.w3.org/ns/prov#value,prov:value,object,
prov:,prov:wasRevisionOf,Was Revision Of,"The unique identifier (handle) of the previous version of the object, only present when prov:Activity is of type ods:Update and ods:Tombstone",,,https://hdl.handle.net/20.5000.1025/XXX-XXX-XXX/1,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,ods:prov:Entity,False,False,prov:Entity.wasRevisionOf,http://www.w3.org/ns/prov#,http://www.w3.org/ns/prov#wasRevisionOf,prov:wasRevisionOf,string,
prov:,prov:wasGeneratedBy,Was Generated By,"The unique identifier of the prov:Activity that generated the Entity (as indicated at @id in the Activity Class), http://www.w3.org/ns/prov#wasGeneratedBy",,,7ba628d4-2e28-4ce4-ad1e-e99c97c20507| 807f145c-11a1-41f0-af34-b2d7c580bcc1,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,ods:prov:Entity,True,False,prov:Entity.wasGeneratedBy,http://www.w3.org/ns/prov#,http://www.w3.org/ns/prov#wasGeneratedBy,prov:wasGeneratedBy,string,
ods:,ods:hasAgents,Has Agents,"Contains zero or more prov:Agent objects, connected based on the identifier with the `prov:Activity`",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,ods:CreateUpdateTombstoneEvent,False,False,CreateUpdateTombstoneEvent.hasAgents,http://rs.dissco.eu/opends/terms/,http://rs.dissco.eu/opends/terms/hasAgents,ods:hasAgents,array<ods:Agent>,
