namespace,term_local_name,label,definition,usage,notes,examples,rdf_type,class_name,is_required,is_repeatable,compound_name,namespace_iri,term_iri,term_ns_name,datatype,enum
ods:,DataMapping,Data Mapping,This object described the data mapping for used when ingesting the data. It can set default values or contain an explicit mapping between the local term and an openDS term. This object is attached to a source system object.,,,,http://www.w3.org/2000/01/rdf-schema#Class,DataMapping,True,True,DataMapping,http://rs.dissco.eu/opends/terms/,http://rs.dissco.eu/opends/terms/DataMapping,ods:DataMapping,,
ods:,ID,ID,Handle of the Mapping,,,https://hdl.handle.net/20.5000.1025/XXX-XXX-XXX,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,DataMapping,True,False,DataMapping.ID,http://rs.dissco.eu/opends/terms/,http://rs.dissco.eu/opends/terms/ID,ods:ID,string,
ods:,type,Type,The DOI to the FDO type of the object,,,https://doi.org/10.15468/1a2b3c,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,DataMapping,True,False,DataMapping.type,http://rs.dissco.eu/opends/terms/,http://rs.dissco.eu/opends/terms/type,ods:type,string,
ods:,status,Status,The status of the Digital Object,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,DataMapping,False,False,DataMapping.status,http://rs.dissco.eu/opends/terms/,http://rs.dissco.eu/opends/terms/status,ods:status,,"ods:Draft, ods:Active, ods:Tombstone"
schema:,version,Version,"Version of the Mapping, https://schema.org/version",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,DataMapping,True,False,DataMapping.version,http://schema.org/,http://schema.org/version,schema:version,integer,
schema:,name,Name,"Name of the Mapping as provided by the user, https://schema.org/name",,,Default Mapping for Herbarium of University of Coimbra (COI),http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,DataMapping,False,False,DataMapping.name,http://schema.org/,http://schema.org/name,schema:name,string,
schema:,description,Description,"Description of the Mapping as provided by the user, https://schema.org/description",,,The default mapping for the Herbarium of the University of Coimbra (COI) to the Darwin Core standard.,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,DataMapping,False,False,DataMapping.description,http://schema.org/,http://schema.org/description,schema:description,string,
schema:,dateCreated,Date Created,"Timestamp of creation. Internally generated, https://schema.org/dateCreated",,,2021-06-01T12:00:00.445Z,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,DataMapping,True,False,DataMapping.dateCreated,http://schema.org/,http://schema.org/dateCreated,schema:dateCreated,string,
schema:,dateModified,Date Modified,"Timestamp of last modification. Internally generated, https://schema.org/dateModified",,,2021-06-06T13:22:00.445Z,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,DataMapping,True,False,DataMapping.dateModified,http://schema.org/,http://schema.org/dateModified,schema:dateModified,string,
schema:,creator,Creator,Contains an ods:Agent object,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,DataMapping,True,False,DataMapping.creator,http://schema.org/,http://schema.org/creator,schema:creator,object,
ods:,DefaultMapping,Default Mapping,"A mapping object setting default values for ods terms. These default mappings will be set for each record in the dataset. Key is the ods term, value the default value to use",,,"[{'ods:physicalSpecimenIDType': 'Global'}, {'ods:type': 'ZoologyVertebrateSpecimen'}, {'ods:organisationID': 'https://ror.org/05xg72x27'}]",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,DataMapping,False,False,DataMapping.DefaultMapping,http://rs.dissco.eu/opends/terms/,http://rs.dissco.eu/opends/terms/DefaultMapping,ods:DefaultMapping,array<ods:DefaultMapping>,
ods:,FieldMapping,Field Mapping,"Setting an explicit mapping for an ods term to a term from the incoming dataset. Key is the ods term, value the incoming data standard term",,,[{'ods:physicalSpecimenId': 'dwc:catalogNumber'}],http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,DataMapping,False,False,DataMapping.FieldMapping,http://rs.dissco.eu/opends/terms/,http://rs.dissco.eu/opends/terms/FieldMapping,ods:FieldMapping,array<ods:FieldMapping>,
ods:,mappingDataStandard,Mapping Data Standard,Type of data standard we are mapping to,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,DataMapping,True,False,DataMapping.mappingDataStandard,http://rs.dissco.eu/opends/terms/,http://rs.dissco.eu/opends/terms/mappingDataStandard,ods:mappingDataStandard,,"dwc, abcd, abcdefg"
ods:,TombstoneMetadata,Tombstone Metadata,Object containing the tombstone metadata of the object. Only present when ods:status is ods:Tombstone,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,DataMapping,False,False,DataMapping.TombstoneMetadata,http://rs.dissco.eu/opends/terms/,http://rs.dissco.eu/opends/terms/TombstoneMetadata,ods:TombstoneMetadata,object,
ods:,TombstoneMetadata,Tombstone Metadata,"The tombstone metadata about the tombstoned digital object, including the what, who and when of the tombstoning.",,,,http://www.w3.org/2000/01/rdf-schema#Class,TombstoneMetadata,False,True,TombstoneMetadata,http://rs.dissco.eu/opends/terms/,http://rs.dissco.eu/opends/terms/TombstoneMetadata,ods:TombstoneMetadata,,
ods:,tombstoneDate,Tombstone Date,Timestamp the Digital Object was tombstoned and no longer active.,,,2021-06-01T12:00:000Z,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,TombstoneMetadata,True,False,TombstoneMetadata.tombstoneDate,http://rs.dissco.eu/opends/terms/,http://rs.dissco.eu/opends/terms/tombstoneDate,ods:tombstoneDate,string,
