namespace,term_local_name,label,definition,usage,notes,examples,rdf_type,class_name,is_required,is_repeatable,compound_name,namespace_iri,term_iri,term_ns_name,datatype,enum
ods:,DigitalMedia,Digital Media,A digital representation of an media object such as a Image or Sound Recording,,,,http://www.w3.org/2000/01/rdf-schema#Class,ods:DigitalMedia,True,True,DigitalMedia,http://rs.dissco.eu/opends/terms/,http://rs.dissco.eu/opends/terms/DigitalMedia,ods:DigitalMedia,,
dcterms:,dcterms:identifier,Identifier,The unique identifier (DOI) of the Digital Media,,,https://doi.org/10.22/XXX-XXX-XXX| https://doi.org/10.22/XXX-XXX-YYY,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,ods:DigitalMedia,True,False,DigitalMedia.identifier,http://purl.org/dc/terms/,http://purl.org/dc/terms/identifier,dcterms:identifier,string,
ods:,ods:fdoType,Fdo Type,The DOI to the FDO type of the object,,,https://doi.org/21.T11148/bbad8c4e101e8af01115| https://doi.org/21.T11148/894b1e6cad57e921764e,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,ods:DigitalMedia,True,False,DigitalMedia.fdoType,http://rs.dissco.eu/opends/terms/,http://rs.dissco.eu/opends/terms/fdoType,ods:fdoType,string,
ods:,ods:version,Version,"The version of the object, each change generates a new version. The version starts at 1 and each change will increment the version number with 1",,,1| 3| 5,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,ods:DigitalMedia,True,False,DigitalMedia.version,http://rs.dissco.eu/opends/terms/,http://rs.dissco.eu/opends/terms/version,ods:version,integer,
ods:,ods:status,Status,"The status of the Digital Object. A digital object can be in Draft, when it is not published yet. Active when it is published and the object is active and Tombstone which means the object has been archived.",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,ods:DigitalMedia,False,False,DigitalMedia.status,http://rs.dissco.eu/opends/terms/,http://rs.dissco.eu/opends/terms/status,ods:status,,Draft| Active| Tombstone
dcterms:,dcterms:modified,Modified,"The timestamp that the object was last changed, which resulted in a new version of the object. Following the ISO Date Time Format yyyy-MM-dd'T'HH:mm:ss.SSSXXX",,,2023-10-02T12:31:34.806Z| 2023-09-15T08:45:12.123Z,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,ods:DigitalMedia,True,False,DigitalMedia.modified,http://purl.org/dc/terms/,http://purl.org/dc/terms/modified,dcterms:modified,string,
dcterms:,dcterms:created,Created,"The timestamp that the object was created in DiSSCo, Following the ISO Date Time Format yyyy-MM-dd'T'HH:mm:ss.SSSXXX",,,2023-10-02T12:31:34.806Z| 2023-09-15T08:45:12.123Z,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,ods:DigitalMedia,True,False,DigitalMedia.created,http://purl.org/dc/terms/,http://purl.org/dc/terms/created,dcterms:created,string,
dcterms:,dcterms:type,Type,"Describing the nature or type of the Digital Media, restricted to the controlled vocabulary of https://www.dublincore.org/specifications/dublin-core/dcmi-terms/#DCMIType",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,ods:DigitalMedia,False,False,DigitalMedia.type,http://purl.org/dc/terms/,http://purl.org/dc/terms/type,dcterms:type,string,Collection| Dataset| Event| Image| InteractiveResource| MovingImage| PhysicalObject| Service| Software| Sound| StillImage| Text
ac:,ac:accessURI,Access URI,This is the URI through which DiSSCo will retrieve the media item and serves as the main identifier for the media item before a DOI is available,,,https://image.bgbm.org/images/internal/HerbarThumbs/B100272813_1700| https://medialib.naturalis.nl/file/id/RGM.924559/format/large,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,ods:DigitalMedia,True,False,DigitalMedia.accessURI,http://rs.tdwg.org/ac/terms/,http://rs.tdwg.org/ac/terms/accessURI,ac:accessURI,string,
ods:,ods:sourceSystemID,Source System ID,The handle to the source system object which is used to retrieve the data from the CMS,,,https://hdl.handle.net/20.5000.1025/XXX-XXX-XXX,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,ods:DigitalMedia,True,False,DigitalMedia.sourceSystemID,http://rs.dissco.eu/opends/terms/,http://rs.dissco.eu/opends/terms/sourceSystemID,ods:sourceSystemID,string,
