namespace,term_local_name,label,definition,usage,notes,examples,rdf_type,class_name,is_required,is_repeatable,compound_name,namespace_iri,term_iri,term_ns_name,datatype,enum
ods:,DigitalSpecimen,Digital Specimen,"A digital representation of a physical specimen, following the concept of the FAIR Digital Object (FDO). Each physical specimen that has been administrated as a separate entity will be a Digital Specimen.",,,,http://www.w3.org/2000/01/rdf-schema#Class,ods:DigitalSpecimen,True,True,DigitalSpecimen,http://rs.dissco.eu/opends/terms/,http://rs.dissco.eu/opends/terms/DigitalSpecimen,ods:DigitalSpecimen,,
dcterms:,dcterms:identifier,Identifier,"The unique identifier of the Digital Specimen object, follows the Digital Object Identifier (DOI) standard.",,,https://doi.org/10.3535/XXX-XXX-XXX,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,ods:DigitalSpecimen,True,False,DigitalSpecimen.identifier,http://purl.org/dc/terms/,http://purl.org/dc/terms/identifier,dcterms:identifier,string,
ods:,ods:version,Version,"The version of the object, each change generates a new version. The version starts at 1 and each change will increment the version number with 1",,,1,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,ods:DigitalSpecimen,True,False,DigitalSpecimen.version,http://rs.dissco.eu/opends/terms/,http://rs.dissco.eu/opends/terms/version,ods:version,integer,
ods:,ods:status,Status,"The status of the Digital Object. A digital object can be in Draft, when it is not published yet. Active when it is published and the object is active and Tombstone which means the object has been archived.",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,ods:DigitalSpecimen,False,False,DigitalSpecimen.status,http://rs.dissco.eu/opends/terms/,http://rs.dissco.eu/opends/terms/status,ods:status,string,Draft| Active| Tombstone
dcterms:,dcterms:modified,Modified,"The timestamp that the object was last changed, which resulted in a new version of the object. Following the ISO Date Time Format yyyy-MM-dd'T'HH:mm:ss.SSSXXX",,,2023-10-02T12:31:34.806Z,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,ods:DigitalSpecimen,True,False,DigitalSpecimen.modified,http://purl.org/dc/terms/,http://purl.org/dc/terms/modified,dcterms:modified,string,
dcterms:,dcterms:created,Created,"The timestamp that the object was created in DiSSCo. following the ISO Date Time Format yyyy-MM-dd'T'HH:mm:ss.SSSXXX""",,,2023-10-02T12:31:34.806Z,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,ods:DigitalSpecimen,True,False,DigitalSpecimen.created,http://purl.org/dc/terms/,http://purl.org/dc/terms/created,dcterms:created,string,
ods:,ods:fdoType,Fdo Type,The DOI to the FDO type of the object,,,https://doi.org/21.T11148/bbad8c4e101e8af01115| https://doi.org/21.T11148/894b1e6cad57e921764e,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,ods:DigitalSpecimen,True,False,DigitalSpecimen.fdoType,http://rs.dissco.eu/opends/terms/,http://rs.dissco.eu/opends/terms/fdoType,ods:fdoType,string,
ods:,ods:midsLevel,MIDS Level,"The level of the Minimum Information about a Digital Specimen of the object, for the full specification see https://www.tdwg.org/community/cd/mids/",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,ods:DigitalSpecimen,True,False,DigitalSpecimen.midsLevel,http://rs.dissco.eu/opends/terms/,http://rs.dissco.eu/opends/terms/midsLevel,ods:midsLevel,integer,
ods:,ods:normalisedPhysicalSpecimenID,Normalised Physical Specimen ID,The physical specimen identifier of the object. When locally unique this is a combination between source-system-id and the local identifier. This identifier is used to check if an object exists in the DiSSCo infrastructure when the DOI is not available.,,,NHMD193630:040ck2b86| https://data.biodiversitydata.nl/naturalis/specimen/RGM.234626,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,ods:DigitalSpecimen,True,False,DigitalSpecimen.normalisedPhysicalSpecimenID,http://rs.dissco.eu/opends/terms/,http://rs.dissco.eu/opends/terms/normalisedPhysicalSpecimenID,ods:normalisedPhysicalSpecimenID,string,
ods:,ods:physicalSpecimenID,Physical Specimen ID,"The physical specimen identifier of the object. The main identifier of the object is used (which can be indicated by the user through the DataMapping). If the ods:physicalSpecimenIDType is Resolvable or Global, this identifier is the same as the `ods:normalisedPhysicalSpecimenID`",,,https://hdl.handle.net/20.500.12000/1| NHMD193630| https://data.biodiversitydata.nl/naturalis/specimen/RGM.234626,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,ods:DigitalSpecimen,True,False,DigitalSpecimen.physicalSpecimenID,http://rs.dissco.eu/opends/terms/,http://rs.dissco.eu/opends/terms/physicalSpecimenID,ods:physicalSpecimenID,string,
