namespace,term_local_name,label,definition,usage,notes,examples,rdf_type,class_name,is_required,is_repeatable,compound_name,namespace_iri,term_iri,term_ns_name,datatype,enum
ods:,MachineAnnotationService,Machine Annotation Service,A machine agent which will perform an action on the Digital Object potentially resulting in a new annotation on the object,,,,http://www.w3.org/2000/01/rdf-schema#Class,MachineAnnotationService,True,True,MachineAnnotationService,http://rs.dissco.eu/opends/terms/,http://rs.dissco.eu/opends/terms/MachineAnnotationService,ods:MachineAnnotationService,,
ods:,ID,ID,Handle of the Machine Annotation Service,,,https://hdl.handle.net/20.5000.1025/XXX-XXX-XXX,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,MachineAnnotationService,True,False,MachineAnnotationService.ID,http://rs.dissco.eu/opends/terms/,http://rs.dissco.eu/opends/terms/ID,ods:ID,string,
ods:,type,Type,The DOI to the FDO type of the object,,,https://doi.org/10.15468/1a2b3c,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,MachineAnnotationService,True,False,MachineAnnotationService.type,http://rs.dissco.eu/opends/terms/,http://rs.dissco.eu/opends/terms/type,ods:type,string,
ods:,status,Status,The status of the Digital Object,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,MachineAnnotationService,False,False,MachineAnnotationService.status,http://rs.dissco.eu/opends/terms/,http://rs.dissco.eu/opends/terms/status,ods:status,,ods:Draft| ods:Active| ods:Tombstone
schema:,version,Version,"Version of the Machine Annotation Service, https://schema.org/version",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,MachineAnnotationService,False,False,MachineAnnotationService.version,http://schema.org/,http://schema.org/version,schema:version,integer,
schema:,name,Name,"Name of the Machine Annotation Service as provided by the user, https://schema.org/name",,,GBIF Linker Service,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,MachineAnnotationService,True,False,MachineAnnotationService.name,http://schema.org/,http://schema.org/name,schema:name,string,
schema:,description,Description,"Description of the Machine Annotation Service as provided by the user, https://schema.org/description",,,A service that links GBIF records to a DiSSCo Digital Specimen. It creates an EntityRelationship indicating the relationship,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,MachineAnnotationService,False,False,MachineAnnotationService.description,http://schema.org/,http://schema.org/description,schema:description,string,
schema:,dateCreated,Date Created,"Timestamp of creation. Internally generated, https://schema.org/dateCreated",,,2021-06-01T12:00:000Z,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,MachineAnnotationService,True,False,MachineAnnotationService.dateCreated,http://schema.org/,http://schema.org/dateCreated,schema:dateCreated,string,
schema:,dateModified,Date Modified,"Timestamp of last modification. Internally generated, https://schema.org/dateModified",,,2021-06-06T13:22:00.445Z,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,MachineAnnotationService,True,False,MachineAnnotationService.dateModified,http://schema.org/,http://schema.org/dateModified,schema:dateModified,string,
schema:,creator,Creator,Contains an ods:Agent object,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,MachineAnnotationService,False,False,MachineAnnotationService.creator,http://schema.org/,http://schema.org/creator,schema:creator,object,
ods:,containerImage,Container Image,URI of the image of the containerized application,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,MachineAnnotationService,True,False,MachineAnnotationService.containerImage,http://rs.dissco.eu/opends/terms/,http://rs.dissco.eu/opends/terms/containerImage,ods:containerImage,string,
ods:,containerTag,Container Tag,Tag of the image,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,MachineAnnotationService,True,False,MachineAnnotationService.containerTag,http://rs.dissco.eu/opends/terms/,http://rs.dissco.eu/opends/terms/containerTag,ods:containerTag,string,
ods:,TargetDigitalObjectFilter,Target Digital Object Filter,"Filters describing the criteria that must be met in order to apply the MAS. No filters implies the MAS may run on *any* digital object. Field names are given in JSON paths, and accepted values for that field are provided as an arrays",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,MachineAnnotationService,False,False,MachineAnnotationService.TargetDigitalObjectFilter,http://rs.dissco.eu/opends/terms/,http://rs.dissco.eu/opends/terms/TargetDigitalObjectFilter,ods:TargetDigitalObjectFilter,object,
schema:,creativeWorkStatus,Creative Work Status,"The current status of the service, https://schema.org/creativeWorkStatus",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,MachineAnnotationService,False,False,MachineAnnotationService.creativeWorkStatus,http://schema.org/,http://schema.org/creativeWorkStatus,schema:creativeWorkStatus,string,
schema:,codeRepository,Code Repository,"Link to code base of MAS, https://schema.org/codeRepository",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,MachineAnnotationService,False,False,MachineAnnotationService.codeRepository,http://schema.org/,http://schema.org/codeRepository,schema:codeRepository,string,
schema:,programmingLanguage,Programming Language,"The programming language of the MAS, https://schema.org/programmingLanguage",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,MachineAnnotationService,False,False,MachineAnnotationService.programmingLanguage,http://schema.org/,http://schema.org/programmingLanguage,schema:programmingLanguage,string,
