namespace,namespace_iri
rdf:,http://www.w3.org/1999/02/22-rdf-syntax-ns#
rdfs:,http://www.w3.org/2000/01/rdf-schema#
xsd:,http://www.w3.org/2001/XMLSchema#
owl:,http://www.w3.org/2002/07/owl#
dcterms:,http://purl.org/dc/terms/
dwc:,http://rs.tdwg.org/dwc/terms/
skos:,http://www.w3.org/2004/02/skos/core#
tdwgutility:,http://rs.tdwg.org/dwc/terms/attributes/
dwciri:,http://rs.tdwg.org/dwc/iri/
schema:,https://schema.org/
chrono:,http://rs.tdwg.org/chrono/terms/
ac:,http://rs.tdwg.org/ac/terms/
ods:,http://rs.dissco.eu/opends/terms/
