namespace,term_local_name,label,definition,usage,notes,examples,rdf_type,class_name,is_required,is_repeatable,compound_name,namespace_iri,term_iri,term_ns_name,datatype,enum
ods:,SourceSystem,Source System,"The Source System describes the system from which the data is ingested. It contains information about the system, the endpoint and the data mapping.",,,,http://www.w3.org/2000/01/rdf-schema#Class,ods:SourceSystem,True,True,SourceSystem,http://rs.dissco.eu/opends/terms/,http://rs.dissco.eu/opends/terms/SourceSystem,ods:SourceSystem,,
schema:,schema:identifier,Identifier,The unique identifier (handle) of the Source System object,,,https://hdl.handle.net/20.5000.1025/XXX-XXX-XXX,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,ods:SourceSystem,True,False,SourceSystem.identifier,http://schema.org/,http://schema.org/identifier,schema:identifier,string,
ods:,ods:fdoType,Fdo Type,The DOI to the FDO type of the object,,,https://doi.org/10.15468/1a2b3c,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,ods:SourceSystem,True,False,SourceSystem.fdoType,http://rs.dissco.eu/opends/terms/,http://rs.dissco.eu/opends/terms/fdoType,ods:fdoType,string,
ods:,ods:status,Status,"The status of the Digital Object. A digital object can be in Draft, when it is not published yet. Active when it is published and the object is active and Tombstone which means the object has been archived.",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,ods:SourceSystem,False,False,SourceSystem.status,http://rs.dissco.eu/opends/terms/,http://rs.dissco.eu/opends/terms/status,ods:status,string,Draft| Active| Tombstone
schema:,schema:version,Version,"The version of the object, each change generates a new version. The version starts at 1 and each change will increment the version number with 1",,,1| 2| 3,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,ods:SourceSystem,True,False,SourceSystem.version,http://schema.org/,http://schema.org/version,schema:version,integer,
schema:,schema:name,Name,Name of the Source System as provided by the user,,,Herbarium of University of Coimbra (COI)| Naturalis Biodiversity Center (NL) - Vermes,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,ods:SourceSystem,False,False,SourceSystem.name,http://schema.org/,http://schema.org/name,schema:name,string,
schema:,schema:description,Description,Description of the Source System as provided by the user,,,"The herbarium collection of the University of Coimbra is one of the oldest in Portugal, with specimens dating back to the 18th century.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,ods:SourceSystem,False,False,SourceSystem.description,http://schema.org/,http://schema.org/description,schema:description,string,
schema:,schema:dateCreated,Date Created,"Timestamp of creation. Internally generated, https://schema.org/dateCreated",,,2021-06-01T12:00:00.323Z,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,ods:SourceSystem,True,False,SourceSystem.dateCreated,http://schema.org/,http://schema.org/dateCreated,schema:dateCreated,string,
schema:,schema:dateModified,Date Modified,"Timestamp of last modification. Internally generated, follows the ISO Date Time Format yyyy-MM-dd'T'HH:mm:ss.SSSXXX",,,2021-06-06T13:22:00.445Z,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,ods:SourceSystem,True,False,SourceSystem.dateModified,http://schema.org/,http://schema.org/dateModified,schema:dateModified,string,
schema:,schema:creator,Creator,Contains an ods:Agent object,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,ods:SourceSystem,True,False,SourceSystem.creator,http://schema.org/,http://schema.org/creator,schema:creator,object,
